File,Hour,SBT
SB_MAY_4.csv,0,38
SB_MAY_4.csv,1,16
SB_MAY_4.csv,2,17
SB_MAY_4.csv,3,13
SB_MAY_4.csv,4,20
SB_MAY_4.csv,5,59
SB_MAY_4.csv,6,167
SB_MAY_4.csv,7,314
SB_MAY_4.csv,8,284
SB_MAY_4.csv,9,288
SB_MAY_4.csv,10,281
SB_MAY_4.csv,11,393
SB_MAY_4.csv,12,509
SB_MAY_4.csv,13,463
SB_MAY_4.csv,14,522
SB_MAY_4.csv,15,689
SB_MAY_4.csv,16,972
SB_MAY_4.csv,17,887
SB_MAY_4.csv,18,613
SB_MAY_4.csv,19,435
SB_MAY_4.csv,20,313
SB_MAY_4.csv,21,180
SB_MAY_4.csv,22,103
SB_MAY_5.csv,0,22
SB_MAY_5.csv,1,15
SB_MAY_5.csv,2,12
SB_MAY_5.csv,3,14
SB_MAY_5.csv,4,20
SB_MAY_5.csv,5,57
SB_MAY_5.csv,6,175
SB_MAY_5.csv,7,381
SB_MAY_5.csv,8,324
SB_MAY_5.csv,9,282
SB_MAY_5.csv,10,310
SB_MAY_5.csv,11,400
SB_MAY_5.csv,12,534
SB_MAY_5.csv,13,512
SB_MAY_5.csv,14,586
SB_MAY_5.csv,15,730
SB_MAY_5.csv,16,1117
SB_MAY_5.csv,17,1218
SB_MAY_5.csv,18,622
SB_MAY_5.csv,19,401
SB_MAY_5.csv,20,356
SB_MAY_5.csv,21,222
SB_MAY_5.csv,22,120
SB_MAY_6.csv,0,32
SB_MAY_6.csv,1,21
SB_MAY_6.csv,2,12
SB_MAY_6.csv,3,9
SB_MAY_6.csv,4,22
SB_MAY_6.csv,5,78
SB_MAY_6.csv,6,169
SB_MAY_6.csv,7,397
SB_MAY_6.csv,8,324
SB_MAY_6.csv,9,281
SB_MAY_6.csv,10,315
SB_MAY_6.csv,11,417
SB_MAY_6.csv,12,525
SB_MAY_6.csv,13,520
SB_MAY_6.csv,14,548
SB_MAY_6.csv,15,770
SB_MAY_6.csv,16,1095
SB_MAY_6.csv,17,1045
SB_MAY_6.csv,18,636
SB_MAY_6.csv,19,410
SB_MAY_6.csv,20,394
SB_MAY_6.csv,21,231
SB_MAY_6.csv,22,114
SB_MAY_7.csv,0,27
SB_MAY_7.csv,1,16
SB_MAY_7.csv,2,15
SB_MAY_7.csv,3,14
SB_MAY_7.csv,4,22
SB_MAY_7.csv,5,71
SB_MAY_7.csv,6,174
SB_MAY_7.csv,7,321
SB_MAY_7.csv,8,327
SB_MAY_7.csv,9,273
SB_MAY_7.csv,10,326
SB_MAY_7.csv,11,429
SB_MAY_7.csv,12,536
SB_MAY_7.csv,13,478
SB_MAY_7.csv,14,631
SB_MAY_7.csv,15,744
SB_MAY_7.csv,16,1190
SB_MAY_7.csv,17,1149
SB_MAY_7.csv,18,652
SB_MAY_7.csv,19,491
SB_MAY_7.csv,20,420
SB_MAY_7.csv,21,222
SB_MAY_7.csv,22,135
SB_MAY_8.csv,0,37
SB_MAY_8.csv,1,27
SB_MAY_8.csv,2,15
SB_MAY_8.csv,3,9
SB_MAY_8.csv,4,27
SB_MAY_8.csv,5,62
SB_MAY_8.csv,6,146
SB_MAY_8.csv,7,262
SB_MAY_8.csv,8,238
SB_MAY_8.csv,9,274
SB_MAY_8.csv,10,331
SB_MAY_8.csv,11,453
SB_MAY_8.csv,12,552
SB_MAY_8.csv,13,612
SB_MAY_8.csv,14,701
SB_MAY_8.csv,15,789
SB_MAY_8.csv,16,945
SB_MAY_8.csv,17,845
SB_MAY_8.csv,18,625
SB_MAY_8.csv,19,472
SB_MAY_8.csv,20,434
SB_MAY_8.csv,21,293
SB_MAY_8.csv,22,179
SB_MAY_11.csv,0,27
SB_MAY_11.csv,1,19
SB_MAY_11.csv,2,14
SB_MAY_11.csv,3,7
SB_MAY_11.csv,4,26
SB_MAY_11.csv,5,66
SB_MAY_11.csv,6,140
SB_MAY_11.csv,7,341
SB_MAY_11.csv,8,283
SB_MAY_11.csv,9,263
SB_MAY_11.csv,10,313
SB_MAY_11.csv,11,410
SB_MAY_11.csv,12,481
SB_MAY_11.csv,13,487
SB_MAY_11.csv,14,571
SB_MAY_11.csv,15,691
SB_MAY_11.csv,16,1135
SB_MAY_11.csv,17,1110
SB_MAY_11.csv,18,574
SB_MAY_11.csv,19,430
SB_MAY_11.csv,20,356
SB_MAY_11.csv,21,244
SB_MAY_11.csv,22,124
SB_MAY_12.csv,0,28
SB_MAY_12.csv,1,23
SB_MAY_12.csv,2,19
SB_MAY_12.csv,3,9
SB_MAY_12.csv,4,30
SB_MAY_12.csv,5,68
SB_MAY_12.csv,6,145
SB_MAY_12.csv,7,350
SB_MAY_12.csv,8,322
SB_MAY_12.csv,9,323
SB_MAY_12.csv,10,331
SB_MAY_12.csv,11,401
SB_MAY_12.csv,12,513
SB_MAY_12.csv,13,478
SB_MAY_12.csv,14,588
SB_MAY_12.csv,15,634
SB_MAY_12.csv,16,1363
SB_MAY_12.csv,17,1188
SB_MAY_12.csv,18,669
SB_MAY_12.csv,19,448
SB_MAY_12.csv,20,309
SB_MAY_12.csv,21,268
SB_MAY_12.csv,22,139
SB_MAY_13.csv,0,20
SB_MAY_13.csv,1,23
SB_MAY_13.csv,2,13
SB_MAY_13.csv,3,17
SB_MAY_13.csv,4,21
SB_MAY_13.csv,5,68
SB_MAY_13.csv,6,169
SB_MAY_13.csv,7,325
SB_MAY_13.csv,8,331
SB_MAY_13.csv,9,308
SB_MAY_13.csv,10,322
SB_MAY_13.csv,11,417
SB_MAY_13.csv,12,499
SB_MAY_13.csv,13,476
SB_MAY_13.csv,14,615
SB_MAY_13.csv,15,830
SB_MAY_13.csv,16,1244
SB_MAY_13.csv,17,1178
SB_MAY_13.csv,18,691
SB_MAY_13.csv,19,453
SB_MAY_13.csv,20,374
SB_MAY_13.csv,21,256
SB_MAY_13.csv,22,133
SB_MAY_14.csv,0,26
SB_MAY_14.csv,1,17
SB_MAY_14.csv,2,16
SB_MAY_14.csv,3,22
SB_MAY_14.csv,4,21
SB_MAY_14.csv,5,64
SB_MAY_14.csv,6,153
SB_MAY_14.csv,7,331
SB_MAY_14.csv,8,333
SB_MAY_14.csv,9,268
SB_MAY_14.csv,10,328
SB_MAY_14.csv,11,425
SB_MAY_14.csv,12,550
SB_MAY_14.csv,13,510
SB_MAY_14.csv,14,607
SB_MAY_14.csv,15,789
SB_MAY_14.csv,16,1278
SB_MAY_14.csv,17,1240
SB_MAY_14.csv,18,681
SB_MAY_14.csv,19,429
SB_MAY_14.csv,20,333
SB_MAY_14.csv,21,258
SB_MAY_14.csv,22,125
SB_MAY_15.csv,0,44
SB_MAY_15.csv,1,23
SB_MAY_15.csv,2,16
SB_MAY_15.csv,3,17
SB_MAY_15.csv,4,30
SB_MAY_15.csv,5,61
SB_MAY_15.csv,6,129
SB_MAY_15.csv,7,281
SB_MAY_15.csv,8,300
SB_MAY_15.csv,9,326
SB_MAY_15.csv,10,376
SB_MAY_15.csv,11,483
SB_MAY_15.csv,12,553
SB_MAY_15.csv,13,603
SB_MAY_15.csv,14,642
SB_MAY_15.csv,15,801
SB_MAY_15.csv,16,985
SB_MAY_15.csv,17,904
SB_MAY_15.csv,18,649
SB_MAY_15.csv,19,528
SB_MAY_15.csv,20,408
SB_MAY_15.csv,21,318
SB_MAY_15.csv,22,202
TOTAL,,84386
