Hour,June-1,June-2,June-3,June-4,June-5,June-8,June-9,June-10,June-11,June-12
00:00,0,2,1,0,2,1,1,2,6,3
01:00,0,0,0,2,0,0,1,2,0,0
02:00,0,0,0,2,0,0,2,0,0,2
03:00,0,0,0,0,1,0,0,0,0,1
04:00,0,0,0,0,0,1,2,0,0,0
05:00,0,2,1,0,0,0,1,1,0,0
06:00,4,5,6,2,3,2,3,2,2,3
07:00,17,14,10,7,15,12,15,7,9,10
08:00,13,17,22,12,12,15,16,10,8,13
09:00,13,15,14,12,16,12,15,27,16,23
10:00,17,18,17,14,11,16,19,16,11,18
11:00,18,19,23,22,22,12,15,17,18,18
12:00,22,14,23,11,18,18,30,15,22,24
13:00,29,13,25,11,33,22,17,22,18,21
14:00,23,36,24,16,18,24,26,26,14,18
15:00,21,24,20,30,26,25,28,30,17,26
16:00,22,19,37,34,30,30,25,21,26,28
17:00,31,31,30,20,23,24,41,28,39,29
18:00,30,33,24,24,30,19,20,18,23,24
19:00,17,21,17,17,16,18,25,25,23,33
20:00,18,18,21,24,11,22,14,14,14,18
21:00,16,19,14,13,24,10,16,14,15,15
22:00,8,9,4,7,9,5,8,8,8,13
Total,319,329,333,280,320,288,340,305,289,340
